21,11,70,98,1
79,66,39,96,1
44,57,18,29,1
4,8,58,28,1
27,77,90,79,1
96,74,51,47,1
51,42,78,16,1
64,9,63,48,1
14,13,38,91,1
15,57,80,12,1
98,41,51,21,1
49,61,81,87,1
14,67,47,39,1
65,16,85,54,1
46,64,70,66,1
58,29,51,42,1
17,22,86,90,1
30,36,11,32,1
16,71,12,72,1
56,52,76,82,1
90,92,15,38,1
27,6,57,93,1
49,81,65,68,1
28,63,89,57,1
75,35,53,32,1
81,37,58,51,1
94,15,32,18,1
8,64,73,89,1
48,8,74,85,1
81,15,32,85,1
72,82,91,12,1
43,79,56,93,1
34,11,53,79,1
89,43,68,12,1
34,75,62,23,1
10,81,71,63,1
50,36,24,44,1
17,17,53,51,1
15,79,47,35,1
19,80,38,42,1
55,24,93,15,1
49,39,17,52,1
46,75,69,11,1
15,6,64,94,1
41,64,11,29,1
7,61,35,33,1
35,97,79,41,1
28,94,61,89,1
33,74,77,90,1
71,83,92,48,1
32,90,37,85,1
24,34,60,38,1
59,17,86,20,1
43,40,46,15,1
1,2,7,7,3
90,21,18,27,1
1,2,7,3,1
1,2,7,2,1
1,2,7,0,1
58,38,65,86,1
22,11,67,30,1
50,63,57,24,1
96,53,18,51,1
2,0,5,8,1
2,0,5,9,2
2,0,5,4,1
2,0,5,0,1
96,70,39,85,1
2,3,6,8,2
12,42,68,81,1
21,29,26,29,1
44,87,46,63,1
2,3,6,4,2
2,3,6,5,1
2,3,6,6,1
2,3,6,7,2
2,3,6,1,1
2,3,6,2,2
2,3,6,3,2
66,99,13,77,1
49,95,98,46,1
92,62,10,43,1
71,77,39,60,1
25,86,50,43,1
14,36,9,13,1
43,9,70,46,1
53,57,32,71,1
92,99,80,74,1
43,71,44,36,1
78,28,88,22,1
22,31,92,90,1
21,40,18,45,1
62,48,55,90,1
76,28,98,40,1
22,92,90,72,1
80,53,35,83,1
15,73,47,94,1
55,14,17,75,1
20,20,30,37,1
26,91,89,16,1
90,79,75,62,1
44,35,76,92,1
42,90,98,45,1
47,64,52,35,1
42,99,20,23,1
59,88,41,31,1
19,31,58,14,1
27,65,13,13,1
76,84,96,16,1
13,48,69,94,1
17,37,26,98,1
20,9,50,58,1
60,80,32,95,1
10,61,9,31,1
68,18,85,79,1
89,15,39,55,1
17,40,99,79,1
67,23,48,81,1
76,52,93,19,1
48,12,36,88,1
10,5,46,39,1
83,54,80,80,1
85,59,62,68,1
3,6,99,75,1
64,69,57,27,1
47,40,32,36,1
64,10,19,34,1
76,97,73,82,1
19,35,16,16,1
18,48,54,50,1
54,97,36,91,1
11,41,79,34,1
65,56,22,12,1
68,36,36,31,1
91,98,31,31,1
88,50,94,80,1
7,29,58,38,1
66,46,37,64,1
61,48,97,62,1
85,39,38,97,1
58,31,73,97,1
6,14,80,39,1
19,10,94,58,1
94,5,12,19,1
46,80,15,11,1
64,6,66,48,1
32,15,70,10,1
23,76,91,50,1
0,0,3,8,2
23,58,25,43,1
21,29,16,78,1
50,66,47,24,1
37,10,31,89,1
0,0,3,5,1
0,0,3,6,1
0,0,3,7,1
90,92,72,71,1
24,15,67,81,1
74,17,27,80,1
